,Identifiant,target
281,8706,0
282,17002,0
283,2560,0
284,16925,1
285,15909,0
286,3864,1
287,4286,0
288,1034,0
289,11557,1
290,9543,0
291,7976,0
292,18931,0
293,13682,1
294,5246,0
295,1808,1
296,16196,0
297,259,1
298,13864,0
299,217,0
300,17126,0
301,15799,0
302,9246,0
303,17773,0
304,8086,0
305,7222,1
306,189,0
307,8573,0
308,803,0
309,158,0
310,8737,0
311,216,0
312,10859,0
313,10066,0
314,8703,0
315,18874,1
316,18762,0
317,12060,1
318,11512,0
319,13217,1
320,13881,0
321,8472,1
322,4389,0
323,12576,0
324,4261,0
325,7812,1
326,13370,0
327,3673,0
328,14006,0
329,18320,0
330,14288,0
331,8650,0
332,11163,0
333,4433,0
334,11536,0
335,4137,0
336,11716,0
337,12786,0
338,4653,0
339,9651,0
340,6295,1
341,12142,0
342,15213,0
343,5882,0
344,5039,0
345,17329,0
346,7237,0
347,6481,0
348,13719,0
349,1160,0
350,13603,0
351,7352,0
352,7575,0
353,11490,0
354,4822,0
355,18975,0
356,19442,0
357,19164,0
358,8600,0
359,15510,0
360,9162,0
361,2524,0
362,15266,1
363,2656,0
364,6841,0
365,310,0
366,18797,0
367,2800,1
368,15472,1
369,18577,0
370,3588,0
371,15600,0
372,11651,1
373,12006,1
374,18146,0
375,5802,0
376,19960,0
377,12621,0
378,5902,0
379,10355,0
380,17670,1
381,3100,0
382,6476,0
383,8312,1
384,14192,0
385,12439,1
386,3739,1
387,17544,0
388,8633,0
389,13816,0
390,15408,0
391,1660,0
392,5016,1
393,12236,0
394,8230,1
395,16162,0
396,1460,0
397,7993,0
398,13119,0
399,563,0
400,119,0
401,627,0
402,4680,1
403,11942,0
404,18263,0
405,17577,1
406,9473,1
407,11948,0
408,3921,0
409,4336,0
410,17379,0
411,13687,1
412,1416,0
413,3832,0
414,16712,0
415,10332,0
416,3745,0
417,1301,0
418,1577,0
419,17833,1
420,743,0
421,8692,0
422,7110,0
423,4993,0
424,8581,0
425,13994,0
426,10393,1
427,8105,0
428,4155,0
429,17169,0
430,4152,0
431,13445,0
432,10902,0
433,16615,0
434,13690,0
435,10750,0
436,10840,0
437,1219,0
438,11284,0
439,12051,0
440,8572,0
441,5686,1
442,4477,0
443,6852,0
444,8951,0
445,870,0
446,11509,1
447,2539,0
448,835,1
449,19143,0
450,19931,1
451,938,0
452,7615,0
453,15158,0
454,11150,0
455,18486,0
456,10187,1
457,6827,0
458,1067,1
459,18027,1
460,10022,0
461,4172,0
462,3291,0
463,8315,1
464,13131,0
465,16438,1
466,6447,0
467,18018,0
468,17939,1
469,2478,0
470,5476,0
471,3238,0
472,14908,1
473,12934,0
474,5499,0
475,8000,0
476,17197,0
477,2317,0
478,4998,0
479,1335,1
480,12718,0
481,9906,0
482,18707,0
483,6151,0
484,5744,0
485,817,0
486,10878,0
487,8620,0
488,5958,1
489,5768,0
490,11250,0
491,1265,0
492,2157,0
493,4711,0
494,16721,0
495,12920,0
496,19174,0
497,14540,0
498,14814,0
499,18794,0
500,15376,0
501,8075,0
502,15152,1
503,1634,0
504,10145,0
505,3963,0
506,18991,1
507,7985,0
508,4963,0
509,18389,1
510,1341,0
511,8079,0
512,7210,0
513,13009,0
514,12061,1
515,16452,0
516,5173,0
517,6130,0
518,4208,0
519,11566,0
520,15872,0
521,2514,0
522,8836,0
523,17621,0
524,16934,0
525,8219,0
526,2292,0
527,3639,1
528,8145,0
529,4243,0
530,7660,1
531,13467,0
532,18776,1
533,14302,0
534,17985,0
535,6785,1
536,11541,0
537,6699,0
538,17756,0
539,11532,0
540,10463,1
541,7765,1
542,1298,0
543,18305,1
544,19902,0
545,958,1
546,18159,0
547,18909,0
548,42,0
549,10870,1
550,14936,0
551,17021,0
552,2823,1
553,18648,0
554,321,0
555,2142,0
556,9270,1
557,13359,1
558,10566,0
559,16067,0
560,8025,0
561,11014,0
562,9601,0
563,1771,0
564,14784,0
565,5824,0
566,481,0
567,15056,0
568,11166,0
569,7762,0
570,14508,0
571,16436,0
572,19764,0
573,17514,1
574,14603,1
575,18433,0
576,18576,0
577,6383,0
578,10506,0
579,11030,0
580,2639,0
581,6034,0
582,7781,1
583,13368,0
584,7440,0
585,9050,0
586,14310,1
587,13210,0
588,8678,0
589,9839,0
590,14803,0
591,3263,0
592,9180,0
593,15774,0
594,8221,0
595,12343,0
596,8297,0
597,8654,0
598,18241,0
599,399,0
600,18584,1
601,6913,0
602,15109,1
603,1167,0
604,12553,0
605,17489,0
606,16232,0
607,709,0
608,1096,0
609,17333,1
610,7334,0
611,17655,0
612,14613,1
613,10985,0
614,14735,0
615,1816,0
616,9624,0
617,15294,0
618,1610,0
619,11894,1
620,3875,1
621,13749,1
622,17829,0
623,13189,1
624,1035,0
625,2222,1
626,13029,0
627,9310,1
628,2727,1
629,5256,0
630,8305,0
631,10031,0
632,16631,0
633,19405,1
634,16840,0
635,11726,0
636,12577,0
637,6318,1
638,6231,0
639,6690,1
640,18515,0
641,13204,0
642,16121,0
643,7597,0
644,3616,0
645,11996,0
646,5284,1
647,18280,0
648,16768,1
649,12908,0
650,4273,0
651,16788,0
652,557,0
653,18134,0
654,15441,1
655,16464,0
656,10849,1
657,13081,0
658,19105,0
659,17302,0
660,10353,0
661,10908,0
662,16150,0
663,4104,0
664,2492,0
665,14002,0
666,17744,0
667,12537,0
668,17357,1
669,16248,0
670,4227,0
671,13936,1
672,13854,0
673,8994,1
674,3692,1
675,4831,0
676,5245,0
677,14747,0
678,7630,0
679,7809,0
680,4843,0
681,16879,0
682,12217,1
683,17188,0
684,8377,0
685,7327,0
686,1944,0
687,19141,0
688,11708,1
689,6846,0
690,16461,1
691,6401,0
692,7624,1
693,6134,0
694,18359,0
695,710,0
696,4231,0
697,7504,0
698,5111,0
699,13079,0
700,16992,1
701,8241,0
702,18698,0
703,7028,0
704,16568,1
705,7521,0
706,18692,1
707,10342,1
708,18203,0
709,2402,0
710,6966,0
711,2394,0
712,13096,0
713,2525,0
714,13663,0
715,9725,1
716,15313,0
717,19089,1
718,343,0
719,19759,0
720,6607,1
721,6178,0
722,16567,0
723,16957,0
724,2882,1
725,5875,0
726,9650,0
727,7256,0
728,5100,0
729,18953,1
730,18137,0
731,18198,1
732,12316,0
733,15674,0
734,13736,1
735,17015,0
736,8622,0
737,14583,0
738,686,0
739,3301,0
740,15379,0
741,8249,0
742,16087,0
743,1597,0
744,3019,0
745,14841,0
746,109,1
747,13741,0
748,11760,0
749,16943,0
750,6230,0
751,10678,0
752,1386,0
753,16689,0
754,11896,0
755,6906,1
756,7789,0
757,3633,0
758,19875,0
759,3403,0
760,9039,0
761,18578,0
762,13773,0
763,4596,0
764,8421,1
765,14602,0
766,14796,0
767,1148,0
768,9700,0
769,8651,0
770,3621,0
771,1759,1
772,4050,0
773,13626,1
774,11663,0
775,4748,0
776,16012,0
777,7145,1
778,13545,1
779,6273,1
780,7507,1
781,14450,0
782,19813,0
783,10290,0
784,6145,0
785,11387,0
786,18122,1
787,10930,0
788,7795,0
789,11615,0
790,13620,0
791,10013,0
792,711,0
793,13522,0
794,1012,0
795,15818,0
796,15981,0
797,8595,1
798,12914,0
799,7468,0
800,9258,1
801,11652,1
802,2753,0
803,17410,1
804,5556,1
805,9723,0
806,3218,1
807,6009,0
808,436,1
809,16690,1
810,3569,0
811,2154,1
812,2422,0
813,2051,1
814,11994,0
815,18737,0
816,12745,1
817,11370,0
818,7068,0
819,4991,0
820,17834,1
821,9301,0
822,4190,1
823,3672,0
824,10911,1
825,6394,1
826,6532,0
827,4413,1
828,3274,0
829,10820,0
830,2791,0
831,16537,0
832,4298,0
833,13546,0
834,547,1
835,1184,0
836,18351,1
837,10749,1
838,17663,0
839,3593,0
840,2898,0
841,16231,0
842,7854,0
843,3711,0
844,17163,0
845,7696,1
846,14860,0
847,16467,0
848,15295,1
849,6146,1
850,10128,0
851,14794,0
852,2568,0
853,17751,0
854,5739,0
855,12112,1
856,12178,0
857,8710,0
858,13714,0
859,12654,0
860,7646,1
861,17661,1
862,10381,0
863,19354,1
864,10944,1
865,1544,0
866,7031,0
867,17022,0
868,3358,0
869,13871,0
870,3645,0
871,4588,0
872,6959,0
873,1932,0
874,16105,0
875,10625,0
876,9877,0
877,12102,1
878,6171,0
879,18810,0
880,18554,0
881,2359,0
882,10306,0
883,11115,0
884,15795,0
885,12904,0
886,17764,0
887,3033,0
888,17556,0
889,2242,0
890,10138,1
891,18045,0
892,3941,0
893,12358,0
894,4031,0
895,396,0
896,14695,0
897,3283,0
898,7697,0
899,17445,0
900,7689,0
901,3056,0
902,15027,0
903,13251,0
904,1196,0
905,19156,0
906,4036,0
907,15168,0
908,7027,0
909,4067,0
910,18746,1
911,8652,0
912,14159,0
913,15702,1
914,5579,1
915,15750,0
916,9278,0
917,5280,1
918,15613,0
919,3124,1
920,17957,0
921,1015,0
922,8261,0
923,6728,1
924,11435,0
925,10766,0
926,6087,0
927,5148,0
928,8908,0
929,9110,0
930,1888,1
931,17070,0
932,7493,0
933,1708,0
934,19794,0
935,4100,0
936,2673,0
937,4522,1
938,11688,0
939,12555,0
940,4735,0
941,12388,0
942,1311,0
943,8318,0
944,13303,0
945,429,0
946,16776,0
947,13501,0
948,14846,0
949,1491,0
950,14963,0
951,3564,0
952,10582,0
953,9806,0
954,14282,1
955,18672,0
956,9866,0
957,5524,0
958,16186,0
959,14359,1
960,122,0
961,15772,0
962,1056,0
963,5954,0
964,4088,0
965,3792,0
966,17485,0
967,9179,0
968,16787,0
969,18817,0
970,9079,0
971,16987,0
972,9602,1
973,8202,0
974,5995,0
975,17388,1
976,6298,0
977,3035,0
978,15088,0
979,11915,0
980,1772,0
981,13575,1
982,11554,0
983,3850,0
984,18210,0
985,10813,1
986,12209,0
987,10895,1
988,9546,1
989,5956,0
990,8323,1
991,273,0
992,17837,0
993,14211,0
994,6267,0
995,4895,0
996,7159,1
997,3503,1
998,12457,0
999,13997,0
1000,5130,0
1001,5089,0
1002,18185,0
1003,19441,0
1004,5209,0
1005,864,1
1006,5984,0
1007,7961,0
1008,10033,0
1009,18831,0
1010,16734,0
1011,1921,1
1012,5048,0
1013,19221,0
1014,3610,0
1015,9790,0
1016,799,0
1017,14556,1
1018,12413,1
1019,15834,0
1020,13580,0
1021,15587,1
1022,13726,1
1023,9922,0
1024,11378,1
1025,6566,0
1026,90,0
1027,11562,0
1028,18673,0
1029,15412,0
1030,8532,0
1031,13918,1
1032,11436,0
1033,12660,0
1034,941,0
1035,17338,0
1036,7484,0
1037,8754,0
1038,6647,0
1039,11242,1
1040,10159,0
1041,18872,0
1042,16816,0
1043,6512,0
1044,13057,0
1045,8988,0
1046,8012,0
1047,17181,0
1048,3189,0
1049,7980,0
1050,18854,0
1051,9760,1
1052,676,0
1053,11096,0
1054,8384,0
1055,17913,0
1056,14918,0
1057,5976,0
1058,3251,0
1059,6472,0
1060,11761,0
1061,4500,0
1062,8415,0
1063,17486,0
1064,19371,0
1065,13698,0
1066,10651,0
1067,1774,1
1068,5150,1
1069,18825,0
1070,6759,0
1071,3802,0
1072,17819,0
1073,2140,0
1074,15935,0
1075,10942,0
1076,14323,0
1077,17599,1
1078,2703,0
1079,15467,0
1080,18313,0
1081,6218,0
1082,18306,1
1083,8938,0
1084,8930,1
1085,9759,1
1086,8034,1
1087,16812,0
1088,5772,0
1089,18117,0
1090,9332,1
1091,10679,0
1092,14236,0
1093,7661,0
1094,13233,0
1095,9243,0
1096,19181,0
1097,7984,0
1098,3081,1
1099,18145,0
1100,16093,0
1101,15830,0
1102,8326,0
1103,15738,0
1104,10935,0
1105,10000,0
1106,7267,0
1107,8163,0
1108,4695,1
1109,1412,0
1110,9451,0
1111,6722,0
1112,2786,0
1113,10133,0
1114,8437,0
1115,8763,0
1116,885,0
1117,5545,1
1118,17704,0
1119,7691,1
1120,199,0
1121,14678,0
1122,5838,0
1123,8461,0
1124,4708,0
1125,7339,0
1126,7671,1
1127,18171,1
1128,2275,1
1129,5985,0
1130,4889,0
1131,379,1
1132,11319,0
1133,14379,0
1134,14495,1
1135,16995,0
1136,18921,0
1137,10349,0
1138,15903,0
1139,6474,0
1140,11450,0
1141,6992,1
1142,5231,0
1143,5090,0
1144,3396,0
1145,11643,0
1146,1499,0
1147,7236,0
1148,1941,1
1149,15622,0
1150,2080,1
1151,13861,0
1152,11077,0
1153,14019,0
1154,6663,0
1155,10624,1
1156,14925,1
1157,8551,0
1158,15392,0
1159,18455,1
1160,4156,0
1161,16638,1
1162,10358,1
1163,9741,0
1164,4790,0
1165,14586,0
1166,9646,0
1167,7863,0
1168,17523,0
1169,10047,0
1170,15505,0
1171,4838,1
1172,11331,0
1173,5339,1
1174,11089,0
1175,14626,1
1176,1807,0
1177,1945,0
1178,7374,0
1179,13529,1
1180,6353,0
1181,11121,1
1182,19737,0
1183,17954,0
1184,23,0
1185,9616,0
1186,7135,0
1187,7847,0
1188,16590,1
1189,7912,0
1190,7501,1
1191,13051,0
1192,728,0
1193,10528,0
1194,15683,0
1195,4287,0
1196,6197,1
1197,14941,0
1198,11607,0
1199,3306,1
1200,18126,1
1201,2494,0
1202,4934,0
1203,971,0
1204,7457,0
1205,5933,0
1206,2610,0
1207,18123,1
1208,3204,0
1209,1029,0
1210,16160,0
1211,19400,0
1212,6335,1
1213,11824,1
1214,7040,0
1215,8245,0
1216,14414,1
1217,17206,0
1218,6507,0
1219,15124,0
1220,10082,0
1221,8440,1
1222,2912,0
1223,2028,0
1224,5440,0
1225,18967,0
1226,16172,0
1227,7687,1
1228,15192,0
1229,232,0
1230,10889,0
1231,11054,1
1232,15148,1
1233,125,0
1234,6110,0
1235,11675,0
1236,18103,1
1237,18078,0
1238,4959,0
1239,7473,0
1240,3444,0
1241,11639,0
1242,361,0
1243,1289,0
1244,2111,0
1245,6583,0
1246,9671,1
1247,8529,1
1248,6365,0
1249,13623,0
1250,17590,0
1251,608,0
1252,12731,0
1253,11174,0
1254,6347,0
1255,18620,0
1256,2638,0
1257,2859,0
1258,9178,0
1259,18681,0
1260,15260,1
1261,2274,0
1262,3894,0
1263,7958,0
1264,4423,0
1265,8199,0
1266,9833,0
1267,6671,0
1268,2479,0
1269,16017,1
1270,6816,0
1271,16685,0
1272,4276,0
1273,8302,1
1274,13866,0
1275,2276,0
1276,2398,0
1277,16786,1
1278,17999,0
1279,18005,0
1280,4120,0
1281,4610,0
1282,15718,0
1283,9680,0
1284,16940,1
1285,8475,0
1286,11488,0
1287,9921,0
1288,4611,0
1289,15072,0
1290,11228,0
1291,3346,0
1292,2657,0
1293,5765,0
1294,18860,1
1295,3292,0
1296,11993,0
1297,3995,0
1298,8840,0
1299,10789,0
1300,11712,0
1301,11369,0
1302,9161,1
1303,15949,1
1304,18141,0
1305,13738,1
1306,2164,1
1307,6371,0
1308,2234,0
1309,3227,1
1310,1441,1
1311,8045,0
1312,410,0
1313,8186,1
1314,360,0
1315,15390,1
1316,18032,1
1317,3298,0
1318,16672,0
1319,15854,1
1320,13759,0
1321,19334,0
1322,1870,0
1323,14487,1
1324,8874,1
1325,500,0
1326,18880,0
1327,17732,1
1328,13098,0
1329,2561,0
1330,18084,1
1331,18795,1
1332,397,0
1333,18220,1
1334,5659,0
1335,12681,0
1336,10141,0
1337,12300,1
1338,13616,0
1339,14861,1
1340,7620,0
1341,12907,0
1342,18818,0
1343,6188,1
1344,12586,0
1345,10818,1
1346,3094,0
1347,5533,1
1348,16930,0
1349,14396,0
1350,4720,0
1351,11949,0
1352,19774,0
1353,2946,0
1354,6803,0
1355,13265,0
1356,2891,0
1357,5199,0
1358,10449,0
1359,9974,0
1360,18850,0
1361,17018,0
1362,16556,0
1363,11339,0
1364,14521,0
1365,5309,1
1366,8675,0
1367,18,1
1368,8852,1
1369,9783,0
1370,10107,1
1371,4135,0
1372,10739,0
1373,14023,0
1374,18525,0
1375,14167,0
1376,11254,0
1377,10188,1
1378,17268,0
1379,13872,1
1380,13515,0
1381,10718,0
1382,19244,0
1383,6055,0
1384,18472,1
1385,12575,0
1386,748,1
1387,17585,1
1388,6375,0
1389,12734,1
1390,9445,0
1391,1686,0
1392,13095,0
1393,1763,0
1394,1438,0
1395,13005,0
1396,12704,1
1397,6042,1
1398,5147,1
1399,18919,0
1400,9149,0
1401,8592,0
1402,9777,1
1403,1450,0
1404,6727,1
1405,3463,1
1406,19101,0
1407,3262,1
1408,9502,0
1409,7455,0
1410,7438,0
1411,10028,0
1412,11221,0
1413,4974,0
1414,18891,0
1415,1639,0
1416,17614,1
1417,18591,0
1418,10955,0
1419,15283,0
1420,4559,0
1421,15544,0
1422,15840,1
1423,16404,0
1424,2954,1
1425,5657,1
1426,9114,0
1427,3249,0
1428,10058,0
1429,8008,0
1430,15920,1
1431,4191,0
1432,16849,1
1433,4534,0
1434,8253,0
1435,3325,0
1436,19690,1
1437,15862,0
1438,17267,1
1439,14806,0
1440,14017,0
1441,17050,0
1442,15287,1
1443,1141,1
1444,2042,0
1445,15036,0
1446,7305,1
1447,15806,1
1448,17772,0
1449,10429,0
1450,7192,1
1451,839,1
1452,3719,0
1453,15025,0
1454,2516,0
1455,13426,0
1456,4051,0
1457,15752,0
1458,536,0
1459,4549,0
1460,12174,0
1461,1611,1
1462,17543,1
1463,7868,0
1464,1310,1
1465,14620,0
1466,5801,0
1467,4331,0
1468,10851,0
1469,16707,0
1470,945,0
1471,17745,0
1472,7414,1
1473,6264,0
1474,7559,0
1475,4556,0
1476,7821,0
1477,11364,1
1478,11810,0
1479,4857,0
1480,10677,0
1481,2304,0
1482,1545,0
1483,1942,1
1484,8786,0
1485,13748,0
1486,9628,0
1487,12714,1
1488,14736,0
1489,3752,0
1490,14909,0
1491,570,0
1492,4480,0
1493,3361,0
1494,16714,0
1495,495,0
1496,2595,0
1497,16880,1
1498,17685,1
1499,1902,0
1500,18207,0
1501,19033,1
1502,5341,0
1503,2611,1
1504,15644,0
1505,16994,1
1506,18230,0
1507,16351,0
1508,7785,1
1509,11279,1
1510,5667,0
1511,11431,0
1512,15176,0
1513,5081,0
1514,10403,0
1515,15457,0
1516,10976,0
1517,17765,1
1518,17067,0
1519,9143,0
1520,19557,0
1521,2536,0
1522,10369,0
1523,13092,0
1524,11248,0
1525,17530,0
1526,17932,1
1527,10156,0
1528,3922,0
1529,9441,0
1530,18499,0
1531,2004,0
1532,13766,1
1533,17998,0
1534,14500,0
1535,18019,0
1536,1422,1
1537,7395,0
1538,13960,0
1539,6895,0
1540,9505,1
1541,8932,1
1542,15051,0
1543,17374,0
1544,8195,0
1545,5964,1
1546,14550,1
1547,6359,0
1548,13302,0
1549,15605,0
1550,3717,0
1551,16407,0
1552,19028,1
1553,10254,0
1554,7522,0
1555,8329,0
1556,14673,0
1557,10003,0
1558,3888,0
1559,840,0
1560,9784,0
1561,79,1
1562,9882,0
1563,7908,1
1564,19320,0
1565,4129,0
1566,6256,0
1567,10649,0
1568,5072,0
1569,4973,1
1570,7950,0
1571,12848,0
1572,11168,1
1573,16449,1
1574,11018,0
1575,6334,1
1576,7973,0
1577,8355,0
1578,3686,1
1579,2701,0
1580,6872,0
1581,6222,0
1582,16871,0
1583,17849,0
1584,16283,0
1585,6729,0
1586,5554,0
1587,19122,0
1588,3356,0
1589,16010,0
1590,16512,0
1591,8716,0
1592,6317,0
1593,13938,0
1594,3687,0
1595,5577,0
1596,3206,1
1597,1509,0
1598,8013,0
1599,951,1
1600,8237,0
1601,4012,0
1602,18046,0
1603,8101,0
1604,18586,1
1605,2744,0
1606,966,0
1607,6875,0
1608,15827,0
1609,19909,1
1610,19795,0
1611,9604,0
1612,1891,0
1613,9704,0
1614,8842,0
1615,5923,0
1616,16135,1
1617,15905,0
1618,18274,0
1619,13519,0
1620,18513,0
1621,7181,0
1622,14791,0
1623,11313,1
1624,8559,0
1625,13758,0
1626,1994,0
1627,12723,0
1628,17800,0
1629,12815,1
1630,12242,0
1631,14728,0
1632,1329,0
1633,1296,0
1634,270,0
1635,10821,0
1636,1700,0
1637,16828,0
1638,349,0
1639,11685,0
1640,2732,0
1641,9722,0
1642,8506,1
1643,9949,0
1644,14428,0
1645,8271,0
1646,3029,1
1647,9130,0
1648,12003,1
1649,15754,0
1650,15722,1
1651,9781,0
1652,8542,0
1653,12262,0
1654,11341,0
1655,862,0
1656,15986,1
1657,8507,1
1658,12601,1
1659,15094,1
1660,18284,0
1661,15417,0
1662,13789,0
1663,13498,0
1664,3096,1
1665,15289,0
1666,16951,1
1667,14851,0
1668,17274,0
1669,9094,1
1670,17753,1
1671,6715,0
1672,14727,0
1673,7753,0
1674,9370,0
1675,8204,1
1676,11143,0
1677,18588,0
1678,5715,0
1679,16694,0
1680,7012,0
1681,14062,0
1682,19903,0
1683,13723,1
1684,16249,0
1685,6971,0
1686,3923,0
1687,19628,1
1688,19426,0
1689,12568,0
1690,5934,0
1691,3474,1
1692,9805,0
1693,19057,0
1694,7599,0
1695,9996,0
1696,11321,0
1697,4087,0
1698,8682,0
1699,14614,0
1700,9328,0
1701,19305,0
1702,12599,1
1703,6223,0
1704,12414,0
1705,18095,0
1706,1614,1
1707,13883,0
1708,4538,0
1709,3271,0
1710,8211,1
1711,4001,0
1712,5872,0
1713,2286,1
1714,19869,0
1715,18272,0
1716,8921,0
1717,15560,0
1718,7566,0
1719,7394,0
1720,14162,1
1721,14065,0
1722,6453,0
1723,605,0
1724,17571,0
1725,1584,0
1726,8005,0
1727,4341,0
1728,3665,0
1729,17587,1
1730,357,0
1731,16390,0
1732,461,0
1733,9220,0
1734,13457,1
1735,4989,1
1736,15828,0
1737,14342,0
1738,8177,0
1739,302,0
1740,13489,0
1741,9400,0
1742,6204,0
1743,19939,0
1744,7091,1
1745,13656,1
1746,17750,0
1747,9269,1
1748,289,1
1749,9738,0
1750,3161,0
1751,12384,0
1752,1802,1
1753,10577,0
1754,2951,1
1755,13184,0
1756,9382,0
1757,4041,0
1758,7512,0
1759,16498,0
1760,10231,1
1761,11603,0
1762,6627,0
1763,9786,1
1764,10655,0
1765,6702,0
1766,15747,0
1767,19300,0
1768,3770,0
1769,16829,1
1770,1130,0
1771,12486,0
1772,7445,0
1773,1590,0
1774,4587,0
1775,17170,0
1776,1682,0
1777,15046,1
1778,16148,0
1779,19040,1
1780,17350,0
1781,17345,1
1782,11814,1
1783,9726,1
1784,1224,0
1785,7741,0
1786,16518,0
1787,17250,0
1788,14510,0
1789,439,0
1790,18364,0
1791,14449,0
1792,7936,0
1793,853,0
1794,17107,1
1795,19271,0
1796,17630,1
1797,18567,0
1798,19950,0
1799,14744,0
1800,1047,0
1801,12720,0
1802,16859,1
1803,1119,0
1804,17291,1
1805,17557,1
1806,5906,0
1807,15336,0
1808,18262,1
1809,513,0
1810,16547,1
1811,16336,0
1812,4486,0
1813,17478,0
1814,8527,1
1815,2504,1
1816,18545,1
1817,16339,0
1818,5206,0
1819,8855,0
1820,15202,0
1821,8214,0
1822,18292,0
1823,8244,1
1824,16242,1
1825,19786,0
1826,13176,0
1827,18479,0
1828,6589,0
1829,16430,0
1830,10151,0
1831,7764,1
1832,19318,0
1833,4985,0
1834,10698,0
1835,6332,0
1836,10954,0
1837,12999,0
1838,15897,1
1839,795,0
1840,11327,0
1841,8092,0
1842,5363,0
1843,19418,0
1844,6444,0
1845,9563,0
1846,15713,0
1847,15435,0
1848,16781,0
1849,1737,0
1850,7408,0
1851,7690,0
1852,7298,0
1853,9732,0
1854,12148,0
1855,8488,0
1856,18660,0
1857,12062,0
1858,15438,0
1859,16066,0
1860,5018,0
1861,4977,0
1862,18480,1
1863,6393,0
1864,7964,0
1865,14134,0
1866,819,0
1867,9998,1
1868,3652,1
1869,15018,0
1870,19484,0
1871,7169,0
1872,4175,0
1873,4362,0
1874,18374,0
1875,16699,0
1876,5602,0
1877,9556,0
1878,3974,1
1879,18221,0
1880,11235,0
1881,18580,0
1882,1078,1
